"X","clo","tOut","tInOp","sex","subjId","time","day","time2","subDay"
269,0.478513930363115,17.7889,26.10885432,"male","15",0,1,1,45
270,0.477752942142542,17.96765,26.92303838,"male","15",1.25,1,2,45
271,0.47643228210276,18.4,27.73441237,"male","15",2.76666666666667,1,3,45
272,0.4794038729975,20.00386667,28.34241326,"male","15",4.03333333333334,1,4,45
273,0.484055885155685,22.09853333,29.54525647,"male","15",5.20000000000001,1,5,45
274,0.47753325384343,22.3917,30.05990083,"male","15",6.68333333333334,1,6,45
275,0.475746322658379,21.4,26.70196215,"male","15",0,2,1,46
276,0.440352813333739,21.9965,27.35037024,"male","15",1.21666666666667,2,2,46
277,0.442339417403564,22.6,28.24537882,"male","15",2.71666666666667,2,3,46
278,0.437503614432644,23.441,28.78665461,"male","15",3.96666666666667,2,4,46
279,0.436968273948878,25.5,30.06607447,"male","15",5.25,2,5,46
280,0.440889523897786,25.9,30.71856273,"male","15",6.76666666666667,2,6,46
281,0.294392631561495,24.2,26.69347564,"male","15",0,3,1,47
282,0.247598039631266,26.106,27.47902812,"male","15",1.31666666666667,3,2,47
283,0.254768655281514,28.2285,28.3621999,"male","15",2.65,3,3,47
284,0.252530675299931,28.458,28.93083285,"male","15",4.1,3,4,47
285,0.253463658795226,28.4872,29.29419546,"male","15",5.21666666666667,3,5,47
286,0.248197529593017,31,30.30748821,"male","15",6.71666666666667,3,6,47
287,0.558849806101061,17.21343333,24.97856222,"female","16",0,1,1,48
288,0.560131790619344,18.66235,26.56033605,"female","16",1.31666666666667,1,2,48
289,0.559036812686827,19.1636,27.5345861,"female","16",2.75,1,3,48
290,0.560228963908739,20.5252,27.96328595,"female","16",4.11666666666667,1,4,48
291,0.555011607164051,21.9534,29.43988283,"female","16",5.21666666666667,1,5,48
292,0.55883312051883,22.76,30.32253545,"female","16",6.7,1,6,48
293,0.455373759749346,20.1114,25.73935367,"female","16",0,2,1,49
294,0.460289178495295,23.40213333,26.7878609,"female","16",1.18333333333333,2,2,49
295,0.457544025825337,26.5089,28.67663882,"female","16",2.66666666666666,2,3,49
296,0.461517030764371,27.5775,29.64607644,"female","16",3.93333333333333,2,4,49
297,0.457998403012753,29.08806667,30.21850014,"female","16",5.15,2,5,49
298,0.455609928835183,30.12596667,30.46330373,"female","16",6.61666666666667,2,6,49
299,0.343444129077252,22.06879437,24.14222713,"male","17",0,1,1,50
300,0.340568540487438,22.96869484,25.06967192,"male","17",1.16666666666667,1,2,50
301,0.335382007025182,24.14014272,26.5254047,"male","17",2.7,1,3,50
302,0.335254665981047,25.07499906,27.05697136,"male","17",3.91666666666667,1,4,50
303,0.338988214794081,26.05461596,27.75653915,"male","17",5.18333333333334,1,5,50
304,0.340688206013292,26.2264,28.27457086,"male","17",6.66666666666667,1,6,50
305,0.343781537427567,22.5775,26.67727382,"male","17",0,2,1,51
306,0.336471358656418,22.88918333,24.76109841,"male","17",1.46666666666667,2,2,51
307,0.344673706225585,23.92843333,26.9100087,"male","17",3.8,2,3,51
308,0.343526071235538,23.62666667,27.03167213,"male","17",4,2,4,51
309,0.342070879871026,25,26.18638998,"male","17",5.45,2,5,51
310,0.548778250147589,17.2873,25.74715726,"male","18",0,1,1,52
311,0.550569215223659,17.61995,27.24300338,"male","18",1.23333333333333,1,2,52
312,0.54798468303401,19.51775,27.90097005,"male","18",2.66666666666666,1,3,52
313,0.552947954530828,20.489,28.38052435,"male","18",3.99999999999999,1,4,52
314,0.547494221804664,22.839,29.36760711,"male","18",5.23333333333332,1,5,52
315,0.554432256221771,23.68635,29.90100701,"male","18",6.73333333333332,1,6,52
316,0.545508098308928,13.3,25.00866221,"male","18",0,2,1,53
317,0.549141152806114,13.4,26.13651925,"male","18",1.36666666666667,2,2,53
318,0.554608850977384,13.6364,27.09650391,"male","18",2.81666666666667,2,3,53
319,0.545705336253159,14.4,28.18483333,"male","18",4.28333333333334,2,4,53
320,0.54746559399413,14.1,28.78781986,"male","18",5.58333333333334,2,5,53
321,0.548701062570326,14.33086667,29.35437117,"male","18",6.76666666666667,2,6,53
322,0.547890758044086,14.20193333,24.6026385,"male","18",0,3,1,54
323,0.548552785122301,14.3235,25.02932743,"male","18",1.18333333333333,3,2,54
324,0.547010640858207,16.01453333,26.09370026,"male","18",2.68333333333333,3,3,54
325,0.548734997268766,16.8,26.52529876,"male","18",4.08333333333333,3,4,54
326,0.551184502956457,16.4,26.89047242,"male","18",5.26666666666666,3,5,54
327,0.553603229187429,17.7438,27.68789342,"male","18",6.71666666666666,3,6,54
328,0.528610959108919,17.5,24.50024779,"male","19",0,1,1,55
329,0.531079146198463,19.4,24.80271703,"male","19",1.08333333333333,1,2,55
330,0.52715318004135,21.5485,26.7324655,"male","19",2.6,1,3,55
331,0.526883705134969,21.9,26.64465194,"male","19",3.81666666666667,1,4,55
332,0.526738144401461,21.3705,26.1435,"male","19",5.11666666666667,1,5,55
333,0.528579181991518,18.2966,27.24072851,"male","19",6.53333333333334,1,6,55
334,0.562254095724784,20.639,24.09285819,"male","19",0,2,1,56
335,0.556627290956676,21.7,24.20378272,"male","19",1.2,2,2,56
336,0.563595580712427,25.2766,25.07887499,"male","19",2.75,2,3,56
337,0.561448248280212,26.382,27.87043566,"male","19",5.23333333333333,2,4,56
338,0.56334723650245,23.9012,28.04348569,"male","19",6.73333333333333,2,5,56
339,0.562664517350495,13.3692,24.28144578,"male","19",0,3,1,57
340,0.560348643932957,16.6,25.37488141,"male","19",1.25,3,2,57
341,0.559145136317238,18.32466667,26.90162949,"male","19",2.71666666666667,3,3,57
342,0.558729477829766,19.7,27.79078745,"male","19",4.13333333333334,3,4,57
343,0.519111513828393,20.4,25.06541898,"male","19",5.25000000000001,3,5,57
