"","clo","tOut","tInOp","sex","subjId","time","day"
"126",0.39,24.02983333,26.25016327,"female",47,0,3
"127",0.39,26.7378,27.1527159,"female",47,1.25,3
"128",0.39,28.4,28.12803593,"female",47,1.46666666666667,3
"129",0.39,28.7593,28.4122019,"female",47,1.28333333333333,3
"130",0.39,28.67053333,29.06762491,"female",47,1.46666666666667,3
"131",0.39,28.08146667,29.80689583,"female",47,1.36666666666667,3
"132",0.65,14.3,23.90931726,"male",49,0,1
"133",0.65,17.68208333,25.12243306,"male",49,1.21666666666667,1
"134",0.65,20.57493333,26.07598416,"male",49,1.5,1
"135",0.65,22.0264,26.81834009,"male",49,1.35,1
"136",0.65,20.6896,26.24412634,"male",49,1.16666666666667,1
"137",0.65,22.39895,26.60381382,"male",49,1.53333333333333,1
"138",0.56,14.4,24.67082523,"male",49,0,2
"139",0.56,16.5,25.84487364,"male",49,1.23333333333333,2
"140",0.56,19.366,26.04771277,"male",49,1.51666666666667,2
"141",0.56,21.74463333,26.77172847,"male",49,1.26666666666667,2
"142",0.56,19.9832,26.27129601,"male",49,1.28333333333333,2
"143",0.56,19.8,24.54306693,"male",49,1.5,2
"144",0.68,15.7036,24.87666274,"female",51,0,1
"145",0.68,16.7235,25.51458634,"female",51,1.26666666666667,1
"146",0.68,17.7566,26.50242025,"female",51,1.51666666666667,1
"147",0.68,17.8851,26.84887953,"female",51,1.16666666666667,1
"148",0.68,17.30705,26.89999029,"female",51,1.45,1
"149",0.68,18.0577,27.38565578,"female",51,1.35,1
"150",0.81,17.1,24.7790376,"female",51,0,2
"151",0.81,18.1406,24.07092655,"female",51,1.25,2
"152",0.81,19.2,26.13866456,"female",51,1.5,2
"153",0.56,19.3,27.6967553,"female",51,1.3,2
"154",0.56,19.9,28.55266266,"female",51,1.21666666666667,2
"155",0.56,19.8,29.24465202,"female",51,1.41666666666667,2
"156",0.93,18.3,25.01187299,"female",51,0,3
"157",0.93,20.0037,26.08612194,"female",51,1.23333333333333,3
"158",0.93,22.56385,27.46679639,"female",51,1.48333333333333,3
"159",0.68,24.0824,27.95345609,"female",51,1.23333333333333,3
"160",0.68,26.0996,28.04354055,"female",51,1.28333333333333,3
"161",0.68,26,28.2642378,"female",51,1.5,3
"162",0.34,23.934,26.13911786,"female",55,0,1
"163",0.69,26.3064,26.75270868,"female",55,1.21666666666667,1
"164",0.34,32.6152,28.48638883,"female",55,1.5,1
"165",0.34,35.2,30.07663631,"female",55,1.23333333333333,1
"166",0.34,35.34283333,31.66620423,"female",55,1.25,1
"167",0.34,35.32666667,32.17112965,"female",55,1.55,1
"168",0.34,25.37783333,27.23860177,"female",55,0,2
"169",0.34,28.104,28.41396999,"female",55,1.26666666666667,2
"170",0.34,29.87083333,29.6268466,"female",55,1.38333333333333,2
"171",0.34,30.6707,30.16277856,"female",55,1.26666666666667,2
"172",0.34,30.40416667,30.65535553,"female",55,1.25,2
"173",0.34,29.7006,31.00165771,"female",55,1.63333333333333,2
"174",0.34,24.8,27.50573212,"female",55,0,3
"175",0.34,27.0552,28.41112705,"female",55,1.21666666666667,3
"176",0.34,28.2174,29.69905997,"female",55,1.46666666666667,3
"177",0.34,28.73883333,29.84026056,"female",55,1.33333333333333,3
